epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,37208.6,0.36434,0.40842,0.15365,0.8017,0.98886,0.99188,0.99249,0.92521,0.98886,0.99188,0.99249,0.79563,0.37572,0.44972,0.14579,0.8046,0.00219,0.00219,0.00219
92,37732.5,0.37089,0.40478,0.15633,0.80094,0.98974,0.99352,0.9922,0.93006,0.98974,0.99352,0.9922,0.80113,0.37402,0.44151,0.14067,0.80455,0.002181,0.002181,0.002181
93,38178.1,0.37635,0.41755,0.15549,0.80607,0.97238,0.98929,0.98747,0.92324,0.97221,0.98881,0.98743,0.78687,0.37353,0.52088,0.16452,0.80442,0.002172,0.002172,0.002172
94,38609.7,0.36438,0.39644,0.15366,0.80384,0.98134,0.98814,0.99087,0.92629,0.98134,0.98814,0.99087,0.79118,0.37426,0.47008,0.15212,0.80453,0.002163,0.002163,0.002163
95,38943.8,0.36885,0.38033,0.15654,0.80563,0.98516,0.99465,0.99237,0.92932,0.98516,0.99465,0.99237,0.79691,0.37309,0.45358,0.14618,0.80414,0.002154,0.002154,0.002154
96,39438.5,0.36171,0.39837,0.15564,0.80108,0.99142,0.99111,0.99236,0.92902,0.99142,0.99111,0.99236,0.80077,0.37128,0.44256,0.14038,0.80486,0.002145,0.002145,0.002145
97,39836.4,0.37408,0.39802,0.15786,0.802,0.98056,0.98931,0.99192,0.92903,0.98056,0.98931,0.99192,0.79584,0.37273,0.44971,0.14724,0.80553,0.002136,0.002136,0.002136
98,40324.4,0.37182,0.41955,0.15687,0.8019,0.98556,0.9815,0.99072,0.92574,0.98556,0.9815,0.99072,0.78981,0.37858,0.48201,0.16905,0.80779,0.002127,0.002127,0.002127
99,40670.9,0.35513,0.37676,0.14763,0.80315,0.95197,0.97494,0.99058,0.92667,0.95197,0.97494,0.99055,0.79617,0.37672,0.45175,0.17293,0.80473,0.002118,0.002118,0.002118
100,41101.4,0.37104,0.39898,0.15464,0.79982,0.9888,0.98026,0.99219,0.92709,0.9888,0.98026,0.99219,0.78975,0.3789,0.46776,0.1656,0.80546,0.002109,0.002109,0.002109
101,41495.1,0.36673,0.40182,0.15303,0.79975,0.99302,0.99104,0.99284,0.92957,0.99302,0.99104,0.99284,0.80101,0.3758,0.44599,0.14317,0.80485,0.0021,0.0021,0.0021
102,41971.8,0.36997,0.39533,0.15411,0.80263,0.99044,0.98869,0.99296,0.92807,0.99044,0.98869,0.99296,0.7936,0.37531,0.45272,0.13652,0.80506,0.002091,0.002091,0.002091
103,42370.1,0.36313,0.40681,0.1514,0.8008,0.98835,0.99167,0.99228,0.92745,0.98835,0.99167,0.99228,0.79682,0.37765,0.43982,0.13979,0.80511,0.002082,0.002082,0.002082
104,42761.8,0.35866,0.38892,0.149,0.80014,0.98478,0.99211,0.99106,0.92433,0.98478,0.99211,0.99106,0.79296,0.37221,0.45923,0.1443,0.80571,0.002073,0.002073,0.002073
105,43170.5,0.36438,0.38434,0.15146,0.80597,0.99073,0.99069,0.99253,0.92858,0.99073,0.99069,0.99253,0.79825,0.37223,0.45095,0.13984,0.80439,0.002064,0.002064,0.002064
106,43672.7,0.36029,0.39772,0.14941,0.79597,0.99516,0.99299,0.99225,0.92686,0.99516,0.99299,0.99225,0.79274,0.37355,0.45218,0.1358,0.80527,0.002055,0.002055,0.002055
107,44065,0.3706,0.4224,0.15569,0.79718,0.98254,0.97096,0.99066,0.92555,0.97787,0.97172,0.98859,0.78598,0.38349,0.55745,0.2078,0.80738,0.002046,0.002046,0.002046
108,44495,0.37661,0.39298,0.15722,0.79902,0.97936,0.98665,0.98843,0.92428,0.97936,0.98665,0.98843,0.78402,0.37358,0.47949,0.15323,0.80478,0.002037,0.002037,0.002037
